row_type,tokenizer,time_window,protein_subtype,comparison,n_sequences,mean_token_entropy_bits,mean_effective_vocab_size,mean_cpg_token_fraction,mean_upa_token_fraction,js_distance
group_metric,cds_nonoverlap_k3_offset2,2015-2019,HA-H1N1,,749.0,5.6767096608084096,51.15197759142439,0.027992564880382324,0.1038605065882897,
group_metric,cds_nonoverlap_k3_offset2,2015-2019,HA-H3N2,,507.0,5.677172850818084,51.16872385177285,0.03541272953669637,0.08553018774354479,
group_metric,cds_nonoverlap_k3_offset2,2015-2019,NA-H1N1,,809.0,5.631033299159794,49.55803326886261,0.03637473360589216,0.09167906708228854,
group_metric,cds_nonoverlap_k3_offset2,2015-2019,NA-H3N2,,597.0,5.637632981552297,49.786552972359495,0.039474864026202844,0.09582822076246962,
group_metric,cds_nonoverlap_k3_offset2,2020+,HA-H1N1,,379.0,5.67582861809809,51.12085054067809,0.028058207321762063,0.10380880403110802,
group_metric,cds_nonoverlap_k3_offset2,2020+,HA-H3N2,,279.0,5.669489539947962,50.89837890133126,0.03681728489324185,0.08068898663146165,
group_metric,cds_nonoverlap_k3_offset2,2020+,NA-H1N1,,406.0,5.62639383223485,49.399391811066515,0.03550682946165968,0.09351807678921356,
group_metric,cds_nonoverlap_k3_offset2,2020+,NA-H3N2,,288.0,5.644269728759582,50.01565355027125,0.03969558611753688,0.09729194991577347,
group_metric,cds_nonoverlap_k3_offset2,pre-2009,HA-H1N1,,235.0,5.647281870408253,50.120455874508416,0.029605146462472375,0.08561413640467513,
group_metric,cds_nonoverlap_k3_offset2,pre-2009,HA-H3N2,,526.0,5.679258063269689,51.243114724728166,0.03747856415949467,0.07865942991258053,
group_metric,cds_nonoverlap_k3_offset2,pre-2009,NA-H1N1,,309.0,5.598725751402729,48.462386926049795,0.04344456537717945,0.09724375352273848,
group_metric,cds_nonoverlap_k3_offset2,pre-2009,NA-H3N2,,385.0,5.626234929850388,49.39472804592747,0.037249846982302035,0.09480071676301033,
group_metric,raw_nonoverlap_k6,2009-2014,HA-H1N1,,1614.0,8.020954544446946,259.764879475841,0.07211278082550038,0.2913265455640605,
group_metric,raw_nonoverlap_k6,2009-2014,HA-H3N2,,1350.0,8.052679005104116,265.5694791831001,0.08856412300510105,0.23730700634005322,
group_metric,raw_nonoverlap_k6,2009-2014,NA-H1N1,,1614.0,7.788019596527854,221.03433986623423,0.07986182492577494,0.2530847158178324,
group_metric,raw_nonoverlap_k6,2009-2014,NA-H3N2,,1350.0,7.772744706163821,218.74962423207705,0.07728617819337526,0.22875329042785955,
group_metric,raw_nonoverlap_k6,2015-2019,HA-H1N1,,1757.0,8.015929330405323,258.88363661211554,0.07894618017562807,0.27581582874948984,
group_metric,raw_nonoverlap_k6,2015-2019,HA-H3N2,,1287.0,8.057952866686483,266.51227043241795,0.08469025090604973,0.2572006896156964,
group_metric,raw_nonoverlap_k6,2015-2019,NA-H1N1,,1757.0,7.7752408336298355,219.0798362594545,0.08083579238101245,0.25893970705516317,
group_metric,raw_nonoverlap_k6,2015-2019,NA-H3N2,,1287.0,7.792836200549369,221.79883162146734,0.08553932780497422,0.22707985834842195,
group_metric,raw_nonoverlap_k6,2020+,HA-H1N1,,780.0,8.020203745627857,259.6736143046126,0.07441973760342996,0.2721112105937892,
group_metric,raw_nonoverlap_k6,2020+,HA-H3N2,,689.0,8.046204108652931,264.3497592670258,0.09251173219700708,0.25183615373535834,
group_metric,raw_nonoverlap_k6,2020+,NA-H1N1,,780.0,7.773893910287608,218.87817075626435,0.07878431376523674,0.2538189984122447,
group_metric,raw_nonoverlap_k6,2020+,NA-H3N2,,689.0,7.795740809542231,222.22249404701932,0.08821981493064332,0.22974770309410764,
