tokenizer,group_a,group_b,js_distance
raw_nonoverlap_k5,HA-H1N1,HA-H1N1,0.0
raw_nonoverlap_k5,HA-H1N1,HA-H3N2,0.5232686207702213
raw_nonoverlap_k5,HA-H1N1,NA-H1N1,0.5685370826776288
raw_nonoverlap_k5,HA-H1N1,NA-H3N2,0.5579392521413675
raw_nonoverlap_k5,HA-H3N2,HA-H1N1,0.5232686207702213
raw_nonoverlap_k5,HA-H3N2,HA-H3N2,0.0
raw_nonoverlap_k5,HA-H3N2,NA-H1N1,0.5298059396295923
raw_nonoverlap_k5,HA-H3N2,NA-H3N2,0.5404920035549269
raw_nonoverlap_k5,NA-H1N1,HA-H1N1,0.5685370826776288
raw_nonoverlap_k5,NA-H1N1,HA-H3N2,0.5298059396295923
raw_nonoverlap_k5,NA-H1N1,NA-H1N1,0.0
raw_nonoverlap_k5,NA-H1N1,NA-H3N2,0.5775876001600199
raw_nonoverlap_k5,NA-H3N2,HA-H1N1,0.5579392521413675
raw_nonoverlap_k5,NA-H3N2,HA-H3N2,0.5404920035549269
raw_nonoverlap_k5,NA-H3N2,NA-H1N1,0.5775876001600199
raw_nonoverlap_k5,NA-H3N2,NA-H3N2,0.0
raw_nonoverlap_k6,HA-H1N1,HA-H1N1,0.0
raw_nonoverlap_k6,HA-H1N1,HA-H3N2,0.7347816394395831
raw_nonoverlap_k6,HA-H1N1,NA-H1N1,0.7842208922540997
raw_nonoverlap_k6,HA-H1N1,NA-H3N2,0.7924599816978926
raw_nonoverlap_k6,HA-H3N2,HA-H1N1,0.7347816394395831
raw_nonoverlap_k6,HA-H3N2,HA-H3N2,0.0
raw_nonoverlap_k6,HA-H3N2,NA-H1N1,0.7829111935068555
raw_nonoverlap_k6,HA-H3N2,NA-H3N2,0.8092947496283975
raw_nonoverlap_k6,NA-H1N1,HA-H1N1,0.7842208922540997
raw_nonoverlap_k6,NA-H1N1,HA-H3N2,0.7829111935068555
raw_nonoverlap_k6,NA-H1N1,NA-H1N1,0.0
raw_nonoverlap_k6,NA-H1N1,NA-H3N2,0.8176140358382197
raw_nonoverlap_k6,NA-H3N2,HA-H1N1,0.7924599816978926
raw_nonoverlap_k6,NA-H3N2,HA-H3N2,0.8092947496283975
raw_nonoverlap_k6,NA-H3N2,NA-H1N1,0.8176140358382197
raw_nonoverlap_k6,NA-H3N2,NA-H3N2,0.0
raw_overlap_k3,HA-H1N1,HA-H1N1,0.0
