tokenizer,protein_subtype,metric,n,mean,std,ci_lower,ci_upper,ci_width
cds_nonoverlap_k3_offset0,HA-H1N1,cpg_token_fraction,100,0.017850780187417748,0.00010221752163521179,0.017654246535085665,0.018055606287762056,0.0004013597526763904
cds_nonoverlap_k3_offset0,HA-H1N1,upa_token_fraction,100,0.12730952003125784,0.00017969109904966574,0.12698280626850333,0.12766324528354497,0.0006804390150416395
cds_nonoverlap_k3_offset0,HA-H3N2,token_entropy_bits,100,5.6387851351757545,0.00033344635312189516,5.638138298832038,5.639462957785161,0.0013246589531235031
cds_nonoverlap_k3_offset0,HA-H3N2,effective_vocab_size,100,49.82583583035726,0.011531250722002942,49.8033917005401,49.84930007571304,0.04590837517294233
cds_nonoverlap_k3_offset0,HA-H3N2,cpg_token_fraction,100,0.027573436114132,7.160295396725142e-05,0.027436507495524065,0.027704596370311203,0.0002680888747871382
cds_nonoverlap_k3_offset0,HA-H3N2,upa_token_fraction,100,0.09416957661750722,0.00014614960042708052,0.0938846949635422,0.09443436051343553,0.00054966554989333
cds_nonoverlap_k3_offset0,NA-H1N1,token_entropy_bits,100,5.598121991774583,0.0005376316664686855,5.597223260296877,5.5992821240698705,0.002058863772993469
cds_nonoverlap_k3_offset0,NA-H1N1,effective_vocab_size,100,48.44286448149927,0.017899801364012886,48.41299260000128,48.4814353027824,0.06844270278111964
cds_nonoverlap_k3_offset0,NA-H1N1,cpg_token_fraction,100,0.020155603810224982,6.804151569111784e-05,0.020025793836967416,0.02027043943780461,0.00024464560083719417
cds_nonoverlap_k3_offset0,NA-H1N1,upa_token_fraction,100,0.10948873526022357,9.386360323235572e-05,0.1093264727774313,0.10966474831179149,0.000338275534360194
cds_nonoverlap_k3_offset0,NA-H3N2,token_entropy_bits,100,5.661193026506091,0.00028084854358129303,5.660609742587067,5.661627029953107,0.0010172873660394544
cds_nonoverlap_k3_offset0,NA-H3N2,effective_vocab_size,100,50.6053265000065,0.009855093839403965,50.584866288890744,50.620528550287354,0.03566226139660955
cds_nonoverlap_k3_offset0,NA-H3N2,cpg_token_fraction,100,0.024803223267930413,4.9407439187108186e-05,0.02470293336355512,0.024882294076211176,0.00017936071265605563
cds_nonoverlap_k3_offset0,NA-H3N2,upa_token_fraction,100,0.09405500572841152,0.0001563030468304867,0.09378887135420547,0.09435704735263788,0.0005681759984324103
cds_nonoverlap_k3_offset1,HA-H1N1,token_entropy_bits,100,5.665393690100651,0.00027178256024591946,5.664916634597564,5.66591107810033,0.000994443502766451
cds_nonoverlap_k3_offset1,HA-H1N1,effective_vocab_size,100,50.75286057203354,0.009544052421948683,50.73608823804743,50.77105942479601,0.03497118674857802
cds_nonoverlap_k3_offset1,HA-H1N1,cpg_token_fraction,100,0.04545583586303545,8.36584435275471e-05,0.045312730329419564,0.04563150849705928,0.00031877816763971334
cds_nonoverlap_k3_offset1,HA-H1N1,upa_token_fraction,100,0.13039769259425257,0.0002484383240286559,0.129937248022348,0.13081846795909785,0.0008812199367498608
cds_nonoverlap_k3_offset1,HA-H3N2,token_entropy_bits,100,5.672132490584022,0.00036729671919918315,5.6715903453682905,5.6729294749753265,0.0013391296070359715
cds_nonoverlap_k3_offset1,HA-H3N2,effective_vocab_size,100,50.99136074387178,0.01299184225998188,50.97228003894485,51.01957784398642,0.04729780504156622
cds_nonoverlap_k3_offset1,HA-H3N2,cpg_token_fraction,100,0.0454318972095347,0.00012029831638348349,0.04521518911736007,0.04566704971797115,0.0004518606006110801
cds_nonoverlap_k3_offset1,HA-H3N2,upa_token_fraction,100,0.10869385927883618,0.00018427062622102455,0.10832469399653893,0.10905086343638436,0.0007261694398454227
cds_nonoverlap_k3_offset1,NA-H1N1,token_entropy_bits,100,5.661362398264856,0.0003171335272966097,5.660770180290555,5.66195851415467,0.0011883338641149876
cds_nonoverlap_k3_offset1,NA-H1N1,effective_vocab_size,100,50.611545816987835,0.011139864834935845,50.59077322458443,50.632479454272364,0.04170622968793225
cds_nonoverlap_k3_offset1,NA-H1N1,cpg_token_fraction,100,0.04164285040703822,0.0001360253022861636,0.04141902434466357,0.04189573496668858,0.0004767106220250131
cds_nonoverlap_k3_offset1,NA-H1N1,upa_token_fraction,100,0.13857206722685722,8.901553332387232e-05,0.13839143658992817,0.138776734863823,0.0003852982738948296
cds_nonoverlap_k3_offset1,NA-H3N2,token_entropy_bits,100,5.685241819808361,0.0004675085553806135,5.684329279694775,5.6861240030414875,0.0017947233467126011
cds_nonoverlap_k3_offset1,NA-H3N2,effective_vocab_size,100,51.45758262626424,0.01667354432367437,51.425085896670026,51.48902960193878,0.06394370526875548
cds_nonoverlap_k3_offset1,NA-H3N2,cpg_token_fraction,100,0.03954767957085885,7.569396010206104e-05,0.039403158425393055,0.03969230335358179,0.00028914492818873233
cds_nonoverlap_k3_offset1,NA-H3N2,upa_token_fraction,100,0.12528795423570324,0.00014230710243970406,0.1250476572015051,0.12557978583094528,0.0005321286294401872
cds_nonoverlap_k3_offset2,HA-H1N1,token_entropy_bits,100,5.67239780752735,0.00032451942510696916,5.671779812127249,5.67300760989653,0.0012277977692809472
cds_nonoverlap_k3_offset2,HA-H1N1,effective_vocab_size,100,51.00057763514805,0.011391021390952856,50.978881304554015,51.02196183572403,0.04308053117001265
cds_nonoverlap_k3_offset2,HA-H1N1,cpg_token_fraction,100,0.027775674766973145,7.985795067753945e-05,0.027639771468875755,0.02793487322909465,0.0002951017602188938
cds_nonoverlap_k3_offset2,HA-H1N1,upa_token_fraction,100,0.10142535129751769,0.0001849552957909585,0.101120710653477,0.10180511667409636,0.0006844060206193658
cds_nonoverlap_k3_offset2,HA-H3N2,token_entropy_bits,100,5.677164340133927,0.0003086767949731131,5.676593013538921,5.677719886896954,0.0011268733580331869
cds_nonoverlap_k3_offset2,HA-H3N2,effective_vocab_size,100,51.16907451641311,0.01094386328589551,51.148883027587125,51.18875820116112,0.03987517357399639
cds_nonoverlap_k3_offset2,HA-H3N2,cpg_token_fraction,100,0.036268236732814506,7.595237582000722e-05,0.03612050606647166,0.036422353981476946,0.00030184791500528774
cds_nonoverlap_k3_offset2,HA-H3N2,upa_token_fraction,100,0.08176363399449656,0.00012014774888996645,0.08154781074707543,0.08197999991223172,0.0004321891651562909
