panel,subtype,protein,dinucleotide,n,mean,median,std,q05,q95
mvp,H3N2,NA,GA,5000,0.9776328326573477,0.9815623307852164,0.019614306259632286,0.9286467057002716,1.0018004277729637
smoke,H1N1,HA,GA,200,0.9845775302217479,0.9733350756626892,0.034001221016315565,0.9439364997509196,1.0459137877190772
smoke,H1N1,NA,GA,200,0.9500498778402539,0.9578944373653469,0.031959227406143945,0.8877711760663274,0.9882322082845448
smoke,H3N2,HA,GA,200,1.0185169303870132,1.0210914365212809,0.0252465783250438,0.9717930806465229,1.055424243062896
smoke,H3N2,NA,GA,200,0.9758542055634212,0.980774223941263,0.021231940028867878,0.9293473439102872,1.005135771970145
mvp,H1N1,HA,GC,5000,0.8936558656585355,0.8959394807722553,0.05170880114563713,0.7679323098336274,0.964347302204356
mvp,H1N1,NA,GC,5000,0.861330773634551,0.8621154509676392,0.022810433519194283,0.8258413319870866,0.8983000432310823
mvp,H3N2,HA,GC,5000,1.0099539140484395,1.008772278470421,0.024079985179028346,0.9750594415103796,1.053464943565943
mvp,H3N2,NA,GC,5000,0.933380139946903,0.9275371201357254,0.03470324384236262,0.8865414512149785,0.9959906867633836
smoke,H1N1,HA,GC,200,0.8680888552246587,0.8794786504168597,0.06609696902800068,0.7615188723983386,0.962615179409667
smoke,H1N1,NA,GC,200,0.856706193769909,0.8578021119087981,0.02360936435723041,0.8181380028527386,0.8929637556710192
smoke,H3N2,HA,GC,200,1.0102506996483516,1.0082713771767076,0.023742582935235002,0.9759422918074162,1.0500940172597957
smoke,H3N2,NA,GC,200,0.9348591845160655,0.9323702489076939,0.03437531571042203,0.8826196894279271,0.9898986566503778
mvp,H1N1,HA,GG,5000,1.2537510927992834,1.2559072823825135,0.025054623684457426,1.2012805942323153,1.290862907431811
mvp,H1N1,NA,GG,5000,1.266818880963382,1.2698692063447896,0.01912568664620635,1.2279641408730326,1.2929223370776237
mvp,H3N2,HA,GG,5000,1.273526046106352,1.271333462060025,0.023112128397306978,1.2388235294117649,1.313641578581839
mvp,H3N2,NA,GG,5000,1.118369592756254,1.1162403799835037,0.019663303570090395,1.0891404188421074,1.154133416786867
smoke,H1N1,HA,GG,200,1.2534015662803701,1.2553415215344101,0.023663788267441192,1.2081234431456078,1.2918051811931512
smoke,H1N1,NA,GG,200,1.262671583682323,1.266166625261028,0.02028017468963319,1.2232574491146424,1.2879866545676664
smoke,H3N2,HA,GG,200,1.2704955404168574,1.2665722392376715,0.024507633735844424,1.2388235294117649,1.313723059577198
smoke,H3N2,NA,GG,200,1.120182970797777,1.1189936570761017,0.022631382036798826,1.0916214267918478,1.1590809126887187
mvp,H1N1,HA,GT,5000,0.8906289598757939,0.8916148184473558,0.019513198551682074,0.8594225748889304,0.920884832441534
mvp,H1N1,NA,GT,5000,0.9064129822217896,0.895712147902092,0.038745597467613004,0.8622340122761329,0.9948425694507987
mvp,H3N2,HA,GT,5000,0.7178770501735112,0.7153646587463155,0.023756204785769085,0.68324557860238,0.7578360099374838
mvp,H3N2,NA,GT,5000,0.9710682884858967,0.9760861597250743,0.022289168216195084,0.9265756738155377,0.9995529396045707
smoke,H1N1,HA,GT,200,0.8928109766854874,0.8930597880906057,0.01994419162229796,0.8536239401452191,0.9235172083575325
smoke,H1N1,NA,GT,200,0.9275594278538978,0.9088084034297443,0.050076552286735826,0.8640761979934062,1.0035244745327594
